label,class_name,precision,recall,f1,support
0,finance,0.8245810055865922,0.738,0.7788918205804749,1000
1,realty,0.8669673055242391,0.7744209466263847,0.8180851063829787,993
2,stocks,0.7006369426751592,0.6619859578736209,0.6807632800412584,997
3,education,0.8463054187192118,0.859,0.852605459057072,1000
4,science,0.7655555555555555,0.689,0.7252631578947368,1000
5,society,0.8040770101925255,0.71,0.7541157727031333,1000
6,politics,0.7613882863340564,0.702,0.7304890738813735,1000
7,sports,0.915,0.732,0.8133333333333334,1000
8,game,0.7929184549356223,0.739,0.7650103519668737,1000
9,entertainment,0.4454244762954796,0.808,0.574271499644634,1000
