,0:finance,1:realty,2:stocks,3:education,4:science,5:society,6:politics,7:sports,8:game,9:entertainment
0:finance,732,15,94,9,10,5,21,4,14,96
1:realty,18,764,32,16,15,7,11,3,22,105
2:stocks,87,25,656,9,36,7,43,6,21,107
3:education,6,6,7,856,10,25,13,0,13,64
4:science,16,7,55,20,694,20,30,2,56,100
5:society,7,15,8,29,17,716,37,5,9,157
6:politics,12,13,39,27,20,38,693,3,12,143
7:sports,4,8,11,18,14,18,33,734,21,139
8:game,7,7,16,24,49,13,13,16,735,120
9:entertainment,7,21,17,10,21,41,30,16,34,803
