label,class_name,precision,recall,f1,support
0,finance,0.8279445727482679,0.718436873747495,0.76931330472103,998
1,realty,0.8648648648648649,0.7734138972809668,0.8165869218500797,993
2,stocks,0.6676891615541922,0.6569416498993964,0.6622718052738337,994
3,education,0.855457227138643,0.87,0.8626673277144273,1000
4,science,0.7599544937428896,0.6686686686686687,0.711395101171459,999
5,society,0.8102016607354685,0.6836836836836837,0.741585233441911,999
6,politics,0.7216386554621849,0.687,0.7038934426229508,1000
7,sports,0.9085213032581454,0.725,0.8064516129032258,1000
8,game,0.8119369369369369,0.721,0.763771186440678,1000
9,entertainment,0.4231590181430096,0.793,0.5518441196938065,1000
