,0:finance,1:realty,2:stocks,3:education,4:science,5:society,6:politics,7:sports,8:game,9:entertainment
0:finance,703,10,111,8,11,5,16,6,8,120
1:realty,13,772,43,8,16,11,14,3,11,102
2:stocks,79,26,660,10,34,6,54,3,13,109
3:education,8,4,13,868,6,27,23,1,10,40
4:science,12,9,77,19,664,17,35,5,48,113
5:society,7,16,12,33,20,691,50,3,7,160
6:politics,10,11,30,26,21,36,699,4,14,149
7:sports,5,9,12,14,6,20,32,725,27,150
8:game,3,7,16,22,58,12,12,18,732,120
9:entertainment,6,14,14,9,37,37,32,25,33,793
