,0:finance,1:realty,2:stocks,3:education,4:science,5:society,6:politics,7:sports,8:game,9:entertainment
0:finance,738,16,90,10,14,6,18,4,10,94
1:realty,15,769,32,15,16,8,11,4,17,106
2:stocks,92,25,660,10,32,6,40,12,20,100
3:education,5,5,7,859,14,29,13,1,10,57
4:science,14,6,62,20,689,19,28,3,52,107
5:society,7,15,11,25,16,710,38,7,11,160
6:politics,7,13,41,26,24,34,702,3,16,134
7:sports,5,10,9,17,15,18,32,732,23,139
8:game,6,6,17,23,56,13,13,18,739,109
9:entertainment,6,22,13,10,24,40,27,16,34,808
