label,class_name,precision,recall,f1,support
0,finance,0.8169642857142857,0.732,0.7721518987341772,1000
1,realty,0.8671963677639046,0.7693856998992951,0.8153681963713981,993
2,stocks,0.7016042780748664,0.6579739217652959,0.6790890269151139,997
3,education,0.8408644400785854,0.856,0.848364717542121,1000
4,science,0.7832957110609481,0.694,0.735949098621421,1000
5,society,0.8044943820224719,0.716,0.7576719576719577,1000
6,politics,0.75,0.693,0.7203742203742204,1000
7,sports,0.9302915082382763,0.734,0.820570150922303,1000
8,game,0.7844183564567769,0.735,0.7589055240061952,1000
9,entertainment,0.43784078516902947,0.803,0.5666901905434015,1000
