label,class_name,precision,recall,f1,support
0,finance,0.8309692671394799,0.7044088176352705,0.762472885032538,998
1,realty,0.8792710706150342,0.7774420946626385,0.8252271512560129,993
2,stocks,0.6680161943319838,0.6639839034205232,0.6659939455095862,994
3,education,0.8534906588003933,0.868,0.8606841844323252,1000
4,science,0.7605956471935853,0.6646646646646647,0.7094017094017094,999
5,society,0.8016241299303944,0.6916916916916916,0.7426114991939817,999
6,politics,0.7228541882109617,0.699,0.7107269954245043,1000
7,sports,0.914249684741488,0.725,0.8087005019520357,1000
8,game,0.8106312292358804,0.732,0.7693116132422491,1000
9,entertainment,0.42726293103448276,0.793,0.5553221288515406,1000
