,0:finance,1:realty,2:stocks,3:education,4:science,5:society,6:politics,7:sports,8:game,9:entertainment
0:finance,717,10,104,7,11,5,17,6,7,114
1:realty,15,768,44,6,15,12,11,2,14,106
2:stocks,83,28,653,11,33,5,54,5,9,113
3:education,8,4,12,870,6,22,24,2,11,41
4:science,12,12,74,19,668,14,35,3,48,114
5:society,8,15,12,31,18,683,51,3,7,171
6:politics,9,11,34,26,23,38,687,4,16,152
7:sports,5,15,11,14,8,17,30,725,27,148
8:game,4,9,18,23,58,12,11,22,721,122
9:entertainment,5,16,16,10,39,35,32,26,28,793
