label,class_name,precision,recall,f1,support
0,finance,0.8103241296518607,0.6763527054108216,0.7373020207536866,998
1,realty,0.8850432632880099,0.7210473313192346,0.7946725860155383,993
2,stocks,0.7321428571428571,0.5362173038229376,0.6190476190476191,994
3,education,0.8379174852652259,0.853,0.8453914767096135,1000
4,science,0.8032994923857868,0.6336336336336337,0.7084499160604365,999
5,society,0.8036144578313253,0.6676676676676677,0.7293603061782394,999
6,politics,0.7263157894736842,0.621,0.6695417789757412,1000
7,sports,0.8793324775353016,0.685,0.7700955593029792,1000
8,game,0.832274459974587,0.655,0.7330721880246223,1000
9,entertainment,0.31690140845070425,0.81,0.45556805399325084,1000
